titre,infos,ingredients,instructions,temps_preparation,infos_regime,valeurs_100g,valeurs_portion,all_infos,cleaned_infos,cluster2
Wok de Poulet,"Des légumes de saison saisis vivement pour garder le croquant, des nouilles asiatiques, un poulet fermier moelleux et l’enrobante sauce Dazhou, au sésame et soja pour un plat complet délicieux !",Filets de poulet : 4 pièces; Chou kale : 300 g; Nouilles soba : 250 g; Carottes : 4 pièces; Daïkon : 300 g; Ail : 2 pièces; Graines de sésame doré : 10 g; Huile de sésame : 10 g; Mirin : 50 g; Sauce soja : 70 g,"1. Mise en place : Faites bouillir une casserole d’eau salée pour les nouilles soba
 Lavez les carottes et le daïkon
 Épluchez les carottes puis taillez-les en fines rondelles
 Épluchez le daïkon et coupez-le en petits bâtonnets 
 Épluchez et hachez l’ail | 2. Dose de verdure : Rincez le chou kale
 Retirez la tige et émincez-le* finement | 3. Dernière découpe : Coupez les filets de poulet en petits cubes
 Versez les nouilles soba dans leau bouillante pendant 3 min | 4. Et que ça saute ! : Chauffez une grande poêle, ou un wok à feu vif avec un trait* d’huile neutre* 
 Faites-y sauter* tous les légumes 3 min en remuant régulièrement, salez et poivrez | 5. Envoyez la sauce : Ajoutez les cubes de poulet aux légumes et faites cuire 2 min en remuant
 Versez la sauce Kyoto et enrobez le tout
 Égouttez les nouilles, ajoutez-les dans la poêle et mélangez l’ensemble délicatement | 6. A vos baguettes ! : Servez le wok de poulet bien chaud dans des bols
 Avant de déguster, parsemez de graines de sésame doré",15 min,"Pâtes, Asiatique, healthy, créatif, -20min, Recette légume, Kids friendly, volaille, sans lactose, <600 kcal","Énergie : 94 kcal397 kJ; Protéines : 7,71 g; Lipides : 1,48 g; Fibres : 1,26 g; Glucides : 12,3 g; Graisses saturées : 0,26 g; Sucres : 3,18 g; Sel : 0,63 g","Énergie : 549 kcal2 312 kJ; Protéines : 44,93 g; Lipides : 8,61 g; Fibres : 7,35 g; Glucides : 71,69 g; Graisses saturées : 1,5 g; Sucres : 18,52 g; Sel : 3,7 g","Des légumes de saison saisis vivement pour garder le croquant, des nouilles asiatiques, un poulet fermier moelleux et l’enrobante sauce Dazhou, au sésame et soja pour un plat complet délicieux ! Pâtes, Asiatique, healthy, créatif, -20min, Recette légume, Kids friendly, volaille, sans lactose, <600 kcal",légumes saison saisis vivement garder croquant nouilles asiatiques poulet fermier moelleux lenrobante sauce dazhou sésame soja plat complet délicieux pâtes asiatique healthy légume volaille lactose,2
"Escalope de Dinde, au Beurre de Sauge","Des escalopes de dinde arrosées dun beurre de sauge et accompagnées de fusilloni al dente, enrobés dune sauce crémeuse ricotta-épinards. De quoi transporter toute la tablée en Italie dès la première bouchée !",Escalope de dinde : 4 pièces; Ricotta : 250 g; Fusilloni : 400 g; Sauge fraîche : 10 feuilles; Épinards : 200 g; Muscade : 2 pincées,"1. Effeuillez, équeutez : Faites bouillir une casserole deau salée pour cuire les fusilloni . Effeuillez* la sauge (cf. quantité). Équeutez* et déchirez grossièrement les épinards . | 2. Beurre noisette : Dans une casserole à feu très doux*, faites fondre le beurre (cf. quantité). Ajoutez la sauge , laissez infuser* 4 min en surveillant bien. Dès que le beurre prend une couleur dorée, coupez le feu. Vous faites un beurre noisette*, attention, ça va vite ! | 3. Tombez juste : Plongez les fusilloni dans leau bouillante pendant 6 à 8 min. Chauffez une poêle à feu moyen avec un filet* dhuile dolive . Faites-y tomber* les épinards 1 min en remuant. Ajoutez la ricotta et la muscade (cf. quantités). Mélangez délicatement puis baissez à feu doux, salez et poivrez . | 4. Dinde express : Chauffez une autre poêle à feu vif* avec un filet dhuile dolive . Faites-y cuire les escalopes de dinde 3 min par face, salez et poivrez . Prélevez 6 càs* deau de cuisson des pâtes, versez dans la poêle avec les épinards et la ricotta. | 5. Service bien beurré : Goûtez et égouttez les fusilloni , puis mélangez-les avec les épinards . Servez les escalopes de dinde arrosées du beurre de sauge . Parsemez de sauge fraîche restante.",20 min,"volaille, Pâtes, gourmand, -20min, Recette légume, IG bas, Kids friendly","Énergie : 130 kcal546 kJ; Protéines : 8,51 g; Lipides : 4,51 g; Fibres : 1,98 g; Glucides : 13 g; Graisses saturées : 2,84 g; Sucres : 1,19 g; Sel : 0,11 g","Énergie : 717 kcal3 011 kJ; Protéines : 46,97 g; Lipides : 24,88 g; Fibres : 10,92 g; Glucides : 71,71 g; Graisses saturées : 15,65 g; Sucres : 6,59 g; Sel : 0,6 g","Des escalopes de dinde arrosées dun beurre de sauge et accompagnées de fusilloni al dente, enrobés dune sauce crémeuse ricotta-épinards. De quoi transporter toute la tablée en Italie dès la première bouchée ! volaille, Pâtes, gourmand, -20min, Recette légume, IG bas, Kids friendly",escalopes dinde arrosées dun beurre sauge accompagnées fusilloni al dente enrobés dune sauce crémeuse ricottaépinards quoi transporter toute tablée italie dès première bouchée volaille pâtes gourmand légume ig ba,2
"Tagliatelle Fraîches, Sauce Gorgonzola",Compatible TM5/TM6/TM31,tagliatelle fraîches : 600 g; gorgonzola : 150 g; beurre doux : 40 g; crème liquide : 150 ml; basilic frais : 3 tiges; noix : 40 g; Échalote : 50 g,"1. Mise en place : Éplucher les échalotes. Couper le beurre en morceaux. Couper le gorgonzola en morceaux. Ciseler le basilic. | 2. La sauce au gorgonzola : Mettre les noix dans le bol et hacher 3 sec/vitesse 5 . Transvaser dans un récipient et réserver. Mettre les échalotes dans le bol et hacher 5 sec/vitesse 5 . Ajouter le beurre et faire revenir 3 min/90°C/vitesse 1 . Ajouter le gorgonzola, la crème liquide et le poivre, puis cuire 9 min/90°C/vitesse 2 . Pendant ce temps, faire cuire les tagliatelle pendant 3 minutes dans une grande casserole deau salée, les égoutter et réserver au chaud. Transvaser la sauce sur les tagliatelle, bien mélanger à laide de la spatule. Parsemer de noix hachées et de basilic ciselé, puis servir aussitôt.",20 min,"végé, Pâtes, -20min, Kids friendly","Énergie : 201 kcal844 kJ; Protéines : 7,03 g; Lipides : 7,92 g; Fibres : 1,49 g; Glucides : 22,42 g; Graisses saturées : 4,46 g; Sucres : 1,51 g; Sel : 0,28 g","Énergie : 761 kcal3 200 kJ; Protéines : 26,67 g; Lipides : 30,03 g; Fibres : 5,64 g; Glucides : 85 g; Graisses saturées : 16,89 g; Sucres : 5,72 g; Sel : 1,07 g","Compatible TM5/TM6/TM31 végé, Pâtes, -20min, Kids friendly",compatible tmtmtm végé pâtes,3
"Lasagnes, Champignons-Fromage",Compatible TM5 / TM6,Pâtes à lasagne : 12 feuilles; Parmesan : 40 g; Mozzarella râpée : 200 g; Oignon jaune : 150 g; Ail : 2 pièces; Origan : 1 c.c.; Champignons de Paris : 500 g; Farine de blé : 20 g; tomates pelées : 300 g,"1. Mise en place : Couper le parmesan en morceaux. Éplucher loignon et le couper en 2. Éplucher les gousses dail et retirer le germe. Émincer finement les champignons. | 2. Déroulé : 1. Mettre le parmesan dans le bol et râper 6 sec/vitesse 10 . Transvaser dans un saladier et réserver. 2. Mettre les oignons et lail dans le bol, puis hacher 5 sec/vitesse 5 . Racler les parois du bol à laide de la spatule. 3. Ajouter lhuile dolive et rissoler 5 min/120°C/vitesse 1 , sans le gobelet doseur. 4. Ajouter les tomates pelées, leau, lorigan, le sel et le poivre. Répartir les champignons entre le Varoma et le plateau vapeur, mettre en place lensemble Varoma puis cuire à la vapeur 10 min/Varoma/vitesse 2 . Retirer lensemble Varoma. 5. Ajouter la farine au contenu du bol, remettre en place lensemble Varoma et poursuivre la cuisson 10 min/Varoma/vitesse 2 . Retirer lensemble Varoma, insérer le gobelet doseur et mixer 20 sec/vitesse 6 . 6. Préchauffer le four à 180°C (Th. 6). 7. Verser un peu de sauce tomate dans le fond dun plat à gratin, disposer quelques feuilles de lasagne dessus, puis couvrir de champignons et de mozzarella. Renouveler lopération jusquà épuisement des ingrédients en terminant par la sauce tomate. Saupoudrer de parmesan. Enfourner et cuire 15-20 minutes à 180°C en surveillant la coloration. Servir chaud.",30 min,"Pâtes, végé","Énergie : 123 kcal519 kJ; Protéines : 6,32 g; Lipides : 2,75 g; Fibres : 1,46 g; Glucides : 17,45 g; Graisses saturées : 1,51 g; Sucres : 1,53 g; Sel : 0,28 g","Énergie : 1 058 kcal4 464 kJ; Protéines : 54,4 g; Lipides : 23,68 g; Fibres : 12,57 g; Glucides : 150,16 g; Graisses saturées : 12,97 g; Sucres : 13,15 g; Sel : 2,39 g","Compatible TM5 / TM6 Pâtes, végé",compatible pâtes végé,3
"Linguine all’Arrabiata, et Burrata",Une burrata onctueuse et crémeuse sur des linguine artisanales relevées de sauce arrabiata et de basilic frais... La douceur de la burrata se marie parfaitement avec la sauce épicée. Viva Italia !,Linguine : 500 g; Burrata : 2 pièces; Sauce arrabiata : 340 g; Basilic frais : 16 feuilles,"1. Basilico : Faites bouillir une casserole deau salée pour cuire les pâtes . Effeuillez* le basilic puis ciselez-le* (cf. quantité). | 2. Burrata : Plongez les linguine dans leau bouillante le temps indiqué sur le paquet (6 à 8 min). Égouttez la burrata et laissez-la à température ambiante. | 3. Arrabiata : Conservez une petite louche deau de cuisson et égouttez les pâtes . Remettez-les dans la casserole avec la sauce arrabiata et leau de cuisson . Mélangez quelques minutes à feu doux*. Rectifiez lassaisonnement si besoin. | 4. Simplicita : Servez les pâtes dans des assiettes creuses . Effilochez* la burrata par-dessus et parsemez de basilic . Arrosez dun filet* dhuile dolive , salez , poivrez et dégustez !",10 min,"végé, Pâtes, efficace, gourmand, <600 kcal","Énergie : 119 kcal503 kJ; Protéines : 4,31 g; Lipides : 1,68 g; Fibres : 0,8 g; Glucides : 21,23 g; Graisses saturées : 0,91 g; Sucres : 1,04 g; Sel : 0,02 g","Énergie : 528 kcal2 233 kJ; Protéines : 19,13 g; Lipides : 7,46 g; Fibres : 3,55 g; Glucides : 94,3 g; Graisses saturées : 4,06 g; Sucres : 4,62 g; Sel : 0,11 g","Une burrata onctueuse et crémeuse sur des linguine artisanales relevées de sauce arrabiata et de basilic frais... La douceur de la burrata se marie parfaitement avec la sauce épicée. Viva Italia ! végé, Pâtes, efficace, gourmand, <600 kcal",burrata onctueuse crémeuse linguine artisanales relevées sauce arrabiata basilic frais douceur burrata marie parfaitement sauce épicée viva italia végé pâtes gourmand,3
"Linguine, Champignons, et Crème de Feta à lAil des ours","Giulia cuisine ces linguine à sa sauce : des champignons sautés à lail des ours, une crème onctueuse à la feta et au citron et le tour est joué ! Vous navez plus quà tout mélanger et à vous régaler.",linguine : 500 g; champignons de Paris : 250 g; feta : 150 g; crème liquide : 400 ml; ail des ours : 2 c.c.; Épinards : 400 g; citron : 1 pièce,"1. Mise en place : Faites bouillir une casserole deau salée pour cuire les pâtes . Ôtez le bout terreux des champignons puis coupez-les en 2 (cf. quantité). Lavez puis essorez les épinards . Zestez* le citron (cf. quantité). Vous pouvez presser le jus dans votre thé ! | 2. Crème de feta : Plongez les pâtes (cf. quantité) dans leau bouillante le temps indiqué sur le paquet. Dans un bol, mélangez bien la feta (cf. quantité), la crème liquide et les zestes de citron . Émiettez bien la feta. | 3. Legumes sautés : Chauffez une poêle à feu moyen avec un filet* dhuile dolive . Faites-y revenir les champignons pendant 4 à 5 min, salez et poivrez . Ajoutez ensuite lail des ours et les épinards puis faites-les tomber* 1 à 2 min en remuant délicatement. | 4. Belles linguines : Goûtez puis égouttez les pâtes en gardant une louche deau de cuisson . Remettez-les dans la casserole. Ajoutez la crème de feta et les légumes . Versez leau de cuisson au fur et à mesure en remuant pour avoir une sauce qui enrobe les pâtes . | 5. Service ! : Servez les linguine aussitôt et régalez-vous !",20 min,"végé, Pâtes, gourmand, -20min, Recette légume","Énergie : 105 kcal440 kJ; Protéines : 3,84 g; Lipides : 3,62 g; Fibres : 0,87 g; Glucides : 13,79 g; Graisses saturées : 2,13 g; Sucres : 1,41 g; Sel : 0,15 g","Énergie : 764 kcal3 216 kJ; Protéines : 28,05 g; Lipides : 26,42 g; Fibres : 6,39 g; Glucides : 100,73 g; Graisses saturées : 15,55 g; Sucres : 10,29 g; Sel : 1,1 g","Giulia cuisine ces linguine à sa sauce : des champignons sautés à lail des ours, une crème onctueuse à la feta et au citron et le tour est joué ! Vous navez plus quà tout mélanger et à vous régaler. végé, Pâtes, gourmand, -20min, Recette légume",giulia cuisine linguine sauce champignons sautés lail ours crème onctueuse feta citron tour joué navez plus quà tout mélanger régaler végé pâtes gourmand légume,3
Ravioles Petits Pois & Menthe,"Pressé ? Pas plus de 15 min pour savourer cette gourmandise ! Avec des pois gourmands encore croquants et enrobées de ricotta parfumée dépices grecques, des ravioles farcies dun mariage efficace. Easy peasy !",ravioli : 500 g; Ricotta : 200 g; Pois gourmands : 250 g; Épices tzatziki : 2 c.s.,"1. Mise en place efficace : Faites bouillir une casserole deau salée pour cuire les ravioles Taillez les pois gourmands en 2 | 2. Ricotta à la grecque : Dans un bol, ajoutez la ricotta (cf quantités) et les épices tzatziki Salez , poivrez et ajoutez lhuile dolive (cf quantités)
 Mélangez bien | 3. Bain bouillant : Plongez les ravioles et les pois gourmands au même moment dans leau bouillante pendant 4 min Les pois gourmands vont être blanchis* | 4. Tant que cest chaud : Égouttez les ravioles et les pois gourmands Servez-les avec la ricotta aux épices tzatziki",10 min,"végé, Ravioles, ravioli, efficace, Pâtes, -20min, Recette légume, sans gluten, <600 kcal","Énergie : 189 kcal792 kJ; Protéines : 6,63 g; Lipides : 8,13 g; Fibres : 2,95 g; Glucides : 18,39 g; Graisses saturées : 3,88 g; Sucres : 3,15 g; Sel : 0,66 g","Énergie : 454 kcal1 900 kJ; Protéines : 15,91 g; Lipides : 19,52 g; Fibres : 7,08 g; Glucides : 44,15 g; Graisses saturées : 9,32 g; Sucres : 7,57 g; Sel : 1,58 g","Pressé ? Pas plus de 15 min pour savourer cette gourmandise ! Avec des pois gourmands encore croquants et enrobées de ricotta parfumée dépices grecques, des ravioles farcies dun mariage efficace. Easy peasy ! végé, Ravioles, ravioli, efficace, Pâtes, -20min, Recette légume, sans gluten, <600 kcal",pressé plus savourer cette gourmandise poi gourmand encore croquants enrobées ricotta parfumée dépices grecques ravioles farcies dun mariage easy peasy végé ravioles ravioli pâtes légume gluten,3
"Banana Bread, de Cécile","Terriblement moelleux, sucrée et rapide à préparer, la recette du Banana Bread imaginée par Les Commis naura bientôt plus aucun secret pour vous !",banane : 3 pièces; Cassonade : 100 g; Poudre d’amandes : 15 g; Sucre vanillé : 1 pièce; Farine de blé : 165 g; Levure chimique : 5 g; Cannelle : 3 g; Poudre de gingembre : 3 g,"1. La banane ! : Préchauffez votre four à 160°C en chaleur tournante*. Dans un saladier, écrasez les bananes à la fourchette. | 2. Un peu de perlimpinpin : Incorporez la cassonade , le sucre vanillé , une pincée de sel , les épices , et la poudre damandes . | 3. Bel appareil* : Ajoutez lhuile neutre *, puis la farine et la levure chimique (cf quantités).
 Incorporez le tout en douceur sans trop mélanger. Gardez un peu de farine pour fariner votre moule. | 4. Moule chemisé : Huilez , puis farinez votre moule. Cela permettra un démoulage facile. Tapotez votre moule au dessus dun évier pour retirer lexcédent de farine . | 5. Un tour au four : Versez lappareil * dans le moule.
 Enfournez 40 à 45 min dans votre four chaud. | 6. Pain moelleux : Au bout de 40 min, piquez le banana bread avec un couteau. La lame doit ressortir à peine humide. Laissez tiédir le banana bread avant de le servir.",25 min,"inspiration, Recette légume, dessert, Recette de léquipe, gourmand, sans lactose, <600 kcal","Énergie : 255 kcal1 070 kJ; Protéines : 3,13 g; Lipides : 9,08 g; Fibres : 2,19 g; Glucides : 39,15 g; Graisses saturées : 0,88 g; Sucres : 21,94 g; Sel : 0,02 g","Énergie : 344 kcal1 444 kJ; Protéines : 4,22 g; Lipides : 12,26 g; Fibres : 2,95 g; Glucides : 52,82 g; Graisses saturées : 1,19 g; Sucres : 29,6 g; Sel : 0,03 g","Terriblement moelleux, sucrée et rapide à préparer, la recette du Banana Bread imaginée par Les Commis naura bientôt plus aucun secret pour vous ! inspiration, Recette légume, dessert, Recette de léquipe, gourmand, sans lactose, <600 kcal",terriblement moelleux sucrée rapide préparer banana bread imaginée commis naura bientôt plus aucun secret légume dessert léquipe gourmand lactose,4
Galette Tout Chocolat,,farine de blé : 300 g; cacao en poudre : 50 g; beurre doux : 300 g; chocolat noir : 200 g; crème liquide : 200 ml,"1. La pâte feuilletée : 1. Mettre la farine, le cacao, le beurre, le sel et leau dans le bol de mixage, puis mélanger 30 sec/ vitesse 6 . 2. Transvaser la pâte sur un plan de travail légèrement fariné. Labaisser en rectangle (60 x 20 cm) à laide dun rouleau à pâtisserie. Plier la pâte en trois et la faire pivoter dun quart de tour de manière à avoir le pli sur la gauche. Renouveler lopération complète 2 fois, puis filmer la pâte. Réserver 20 minutes au réfrigérateur, ou 5 minutes au congélateur, avant utilisation. Nettoyer et essuyer le bol de mixage. | 2. La ganache au chocolat : 3. Mettre le chocolat dans le bol de mixage et râper 5 sec/vitesse 10 . Descendre le tout à laide de la spatule. 4. Fondre 5 min/55°C/vitesse mijotage. 5. Ajouter la crème liquide, 2 jaunes dœufs et 1 œuf entier, puis mixer 30 sec/vitesse 4 . Transvaser dans un récipient et réserver. | 3. La dorure et le montage : 6. Préchauffer le four à 180°C (Th. 6). Tapisser une plaque de cuisson de papier cuisson et réserver. 7. Mettre 1 œuf et le sel dans un récipient, puis battre à la fourchette. Réserver. 8. Déballer la pâte et la couper en deux à laide de la spatule. A laide dun rouleau à pâtisserie, abaisser chaque pâton en un disque en veillant à ce que lun soit légèrement plus grand que lautre (Ø 26 et 24 cm env.). Poser le plus petit des disques sur la plaque préparée. Étaler un rond de ganache au chocolat au centre du disque en laissant le pourtour libre, puis poser la fève. Badigeonner le pourtour de dorure à laide dun pinceau de cuisine. 9. Couvrir avec le grand disque de pâte et souder le pourtour en lourlant vers lintérieur. Badigeonner la surface de la galette avec le reste de dorure à laide du pinceau de cuisine. Dessiner des croisillons à la pointe dun couteau et enfourner 45 minutes à 180°C. Servir tiède ou froide.",25 min,dessert,"Énergie : 359 kcal1 497 kJ; Protéines : 7,43 g; Lipides : 26,05 g; Fibres : 1,75 g; Glucides : 22,03 g; Graisses saturées : 15,8 g; Sucres : 7,36 g; Sel : 0,1 g","Énergie : 648 kcal2 700 kJ; Protéines : 13,41 g; Lipides : 46,99 g; Fibres : 3,16 g; Glucides : 39,73 g; Graisses saturées : 28,49 g; Sucres : 13,28 g; Sel : 0,18 g",,,4
Gâteau au Yaourt Choco-Miel,On a tous un souvenir ému des gâteaux au yaourt de notre enfance. Les Commis vous proposent ce gâteau croustillant à lextérieur et fondant à lintérieur !,Yaourt nature : 1 pièce; Sucre : 180 g; Farine de blé : 220 g; Œufs : 3 pièces; Levure : 5 g; Sucre vanillé : 1 pièce; Miel : 30 g; Chocolat noir : 50 g,"1. Mélangez, sans fatiguer : Préchauffez le four à 180°C en chaleur tournante*.
 Versez le yaourt dans un saladier et gardez le pot pour la suite !  
 Dans le saladier, ajoutez le sucre , le sucre vanillé , puis la farine et la levure (cf quantité) en mélangeant au fur et à mesure avec un fouet. | 2. Œuf par œuf : Ensuite, ajoutez les œufs , une pincée de sel et mélangez bien. 
 Remplissez à moitié le pot de yaourt vide avec une huile neutre * et versez-la dans le saladier. | 3. Touches gourmandes : Mélangez bien et ajoutez le miel puis les pistoles de chocolat noir .  
 Versez le tout dans un moule à gâteau antiadhésif. Si vous navez pas de moule, prenez un plat à four et beurrez-le bien avant de verser lappareil*. | 4. Ultime étape : Enfournez à mi-hauteur pendant 30 min.
 Pour contrôler la cuisson, plantez un couteau au centre du gâteau . La lame doit ressortir à peine humide ! Laissez tiédir avant de démouler. Dur de résister…",20 min,"gourmand, dessert","Énergie : 320 kcal1 357 kJ; Protéines : 4,94 g; Lipides : 4,22 g; Fibres : 0,76 g; Glucides : 64,93 g; Graisses saturées : 1,76 g; Sucres : 39,69 g; Sel : 0,04 g","Énergie : 666 kcal2 821 kJ; Protéines : 10,26 g; Lipides : 8,78 g; Fibres : 1,57 g; Glucides : 134,94 g; Graisses saturées : 3,66 g; Sucres : 82,49 g; Sel : 0,08 g","On a tous un souvenir ému des gâteaux au yaourt de notre enfance. Les Commis vous proposent ce gâteau croustillant à lextérieur et fondant à lintérieur ! gourmand, dessert",a tous souvenir ému gâteaux yaourt enfance commis proposent gâteau croustillant lextérieur fondant lintérieur gourmand dessert,4
"Gâteau Moelleux, aux Poires",Envie dune pause gourmande et fruitée ?  Craquez pour le Gâteau Moelleux aux Poires concocté par Les Commis !,Poire : 2 pièces; Romarin frais : 1 tige; Farine de blé : 100 g; Beurre demi-sel : 75 g; Sucre : 170 g; Poudre à lever : 1 pièce; Citron : 1 pièce,"1. Les poires : Préchauffez votre four à 180°C en chaleur traditionnelle*. Épluchez les poires , coupez-les en 2 ou 4 puis retirez leur cœur et les pépins. Faites fondre le beurre dans un bol au micro-ondes 30 secondes. Ou à la casserole sur feu doux*. | 2. À vos fouets... : Dans un saladier, cassez les œufs (cf quantité) et ajoutez 125g de sucre . Battez énergiquement au fouet pendant 1 à 2 min pour blanchir* le mélange .  Puis, ajoutez le beurre fondu et une càc* deau et remuez bien. | 3. Battez ! : Ajoutez la farine et le poudre à lever . Mélangez bien jusquà obtenir une pâte homogène. | 4. Allez hop, au four : Chemisez* un moule denviron 20cm de diamètre avec de lhuile neutre* ou du papier cuisson. Disposez-y les poires et versez la pâte par-dessus. Enfournez pendant 40 à 45 min. | 5. Sirop citron : Zestez* le citron à laide dune râpe fine, puis pressez-le. 
 5 min avant la fin de cuisson du gâteau , faites bouillir 100ml deau .
 Plongez-y le romarin et versez le reste de sucre .
 Ajoutez le jus de citron et les zestes .
 Mélangez bien et portez à ébullition pour faire fondre le sucre puis, coupez le feu. | 6. Miam ! : Retirez le romarin de la casserole.
 Versez le sirop citron sur le gâteau immédiatement à la sortie du four.
 Laissez-le refroidir avant de le démouler et dégustez tiède !",25 min,"inspiration, gourmand, dessert, Recette légume, <600 kcal","Énergie : 195 kcal816 kJ; Protéines : 3,86 g; Lipides : 8,46 g; Fibres : 1,26 g; Glucides : 24,98 g; Graisses saturées : 4,1 g; Sucres : 17,81 g; Sel : 0,2 g","Énergie : 439 kcal1 840 kJ; Protéines : 8,7 g; Lipides : 19,08 g; Fibres : 2,85 g; Glucides : 56,33 g; Graisses saturées : 9,24 g; Sucres : 40,17 g; Sel : 0,46 g","Envie dune pause gourmande et fruitée ?  Craquez pour le Gâteau Moelleux aux Poires concocté par Les Commis ! inspiration, gourmand, dessert, Recette légume, <600 kcal",envie dune pause gourmande fruitée craquez gâteau moelleux poires concocté commis gourmand dessert légume,4
"Petits Coulants, au Chocolat",Compatible TM5 / TM6,beurre doux : 100 g; chocolat noir : 100 g; sucre : 100 g; farine de blé : 50 g,"1. Mise en place : Préchauffer le four à 200°C (Th. 6-7). Beurrer et sucrer 6 moules à muffin et réserver. Couper le beurre en morceaux. | 2. Préparation : Mettre le chocolat et le beurre dans le bol, puis faire fondre 5 min/70°C/vitesse mijotage . Ajouter le sucre, les œufs et la farine, puis mélanger 30 sec/vitesse 4 . Transvaser dans les moules préparés. Enfourner et cuire 7-10 minutes à 200°C à ajuster en fonction de votre four et des moules utilisés. Servir dès la sortie du four, éventuellement accompagné dune boule de glace vanille ou dun peu de crème anglaise.",5 min,"dessert, TM5, TM6, -20min, <600 kcal","Énergie : 396 kcal1 656 kJ; Protéines : 6,55 g; Lipides : 24,93 g; Fibres : 0,2 g; Glucides : 35,17 g; Graisses saturées : 14,45 g; Sucres : 27,93 g; Sel : 0,13 g","Énergie : 350 kcal1 462 kJ; Protéines : 5,78 g; Lipides : 22,02 g; Fibres : 0,17 g; Glucides : 31,06 g; Graisses saturées : 12,77 g; Sucres : 24,67 g; Sel : 0,12 g","Compatible TM5 / TM6 dessert, TM5, TM6, -20min, <600 kcal",compatible dessert,4
"Gâteau Fondant, aux Poires et Pépites de Chocolat",Compatible TM5 / TM6,beurre doux : 80 g; farine de blé : 100 g; sucre : 100 g; poudre damande : 50 g; levure chimique : 1 c.c.; lait : 100 ml; pépite de chocolat : 70 g; poire : 4 pièces; cassonade : 30 g,"1. Mise en place : Détailler les poires en lamelles. Préchauffer le four à 180°C (Th. 6). Beurrer et fariner un moule à manqué (Ø 24-26 cm), puis réserver. | 2. Préparation : Mettre le sucre, 2 œufs et le sel dans le bol, puis mixer 20 sec/vitesse 5 , jusquà ce que le mélange blanchisse. Ajouter la farine, les amandes en poudre, la levure chimique, le lait et lhuile, puis mixer 10 sec/vitesse 5 . Ajouter les pépites de chocolat et mélanger 10 sec/vitesse 2 . Garnir le moule préparé avec la moitié de la pâte, disposer harmonieusement les poires sur la surface, puis ajouter le reste de pâte. Enfourner et cuire 20 minutes à 180°C. Nettoyer le bol. Mettre le beurre dans le bol et faire fondre 4 min/60°C/vitesse 2 . Ajouter lœuf restant et la cassonade, puis mixer 15 sec/vitesse 5 . Sortir le gâteau sans éteindre le four, puis garnir la surface de cette préparation. Enfourner et cuire à nouveau 20 minutes à 180°C. À la sortie du four, laisser refroidir dans le moule avant de servir.",15 min,"dessert, -20min, Recette légume","Énergie : 209 kcal872 kJ; Protéines : 3,8 g; Lipides : 11,19 g; Fibres : 1,95 g; Glucides : 22,47 g; Graisses saturées : 4,46 g; Sucres : 16,41 g; Sel : 0,05 g","Énergie : 768 kcal3 205 kJ; Protéines : 13,97 g; Lipides : 41,17 g; Fibres : 7,18 g; Glucides : 82,62 g; Graisses saturées : 16,4 g; Sucres : 60,36 g; Sel : 0,19 g","Compatible TM5 / TM6 dessert, -20min, Recette légume",compatible dessert légume,4
